cultivos,evaluacion_definitiva_semestre_a2013_area_sembr_ha,evaluacion_definitiva_semestre_a2013_area_cosech_ha,evaluacion_definitiva_semestre_a2013_produc_ton,evaluacion_definitiva_semestre_a2013_rendim_tha,evaluacion_definitiva_semestre_a2013_precio_al_producr_ton,evaluacion_definitiva_semestre_a2013_costos_de_produc_ha,evaluacion_definitiva_semestre_a2013_calific_rendim_ento_a,evaluacion_definitiva_semestre_a2013_m,evaluacion_definitiva_semestre_a2013_b,semestre_b2013_area_sembr_ha,semestre_b2013_area_cosech_ha,semestre_b2013_produc_esperad_ton,semestre_b2013_rendim_tha,semestre_b2013_precio_al_producr_ton,semestre_b2013_costos_de_produc_ha,consolidado_evaluacion_ano_2013_area_sembr_ha,consolidado_evaluacion_ano_2013_area_cosech_ha,consolidado_evaluacion_ano_2013_esperad_ton,consolidado_evaluacion_ano_2013_produc_rendim_tha,consolidado_evaluacion_ano_2013_del_produc,consolidado_evaluacion_ano_2013_estado_precio_al_producr_ton,consolidado_evaluacion_ano_2013_costos_de_produc_ha,pronostico_semestre_a2014_area_sembr_ha,pronostico_semestre_a2014_area_cosech_ha,pronostico_semestre_a2014_esperad_ton,pronostico_semestre_a2014_produc_tha,ano_vigencia
algodon,2230.1799999999998,2146.3600000000001,6157.7704400000002,2.86893645054884,2255000,5966415.2195071401,,,,0,0,0,0,0,0,2230.1799999999998,2146.3599999999997,6157.7704400000002,2.868936450548837,SEMILLA,2255000,5966415.2195071373,0,0,0,0,2011
algodon,1454.5899999999999,1454.5899999999999,4152.6859999999997,2.85488419417155,1942500,4950000,,,,0,0,0,0,0,0,1454.5899999999999,1454.5899999999999,4152.6859999999997,2.854884194171553,SEMILLA,1942500,4950000,572,572,1634,2.856643356643357,2007
sorgo,807,789,3254.1999999999998,4.12446134347275,585000,2600849.6961932699,,,,599,577,2378.1999999999998,4.121663778162912,580000,2600849.6961932648,1406,1366,5632.3999999999996,4.123279648609078,G-SECO,582500,2600849.6961932653,0,0,0,0,2013
maiz tec. blanco,2013,2010,7433.8000000000002,3.69840796019901,700000,2500000,,,,1551,1542,5151.3000000000002,3.340661478599222,787948.77021334425,2605600,3564,3552,12585.1,3.543102477477478,G-SECO,743974.38510667207,2552800,1514,1514,5240.8000000000002,3.461558784676354,2008
frijol tradicio.,4150,4148,2553.5500000000002,0.615609932497589,2000000,1698950,,,,3766,3591,2159.8499999999999,0.601461988304094,2500000.0000000009,1698950,7916,7739,4713.3999999999996,0.609045096265667,G-SECO,2250000.0000000005,1698950,0,0,0,0,2012
papa,38,38,271,7.13157894736842,614500,3700000,,,,30,28,157,5.607142857142857,616000,3700000,68,66,428,6.484848484848484,TUBER,615250,3700000,0,0,0,0,2012
papa,29,27,192,7.11111111111111,381000,3848000,,,,24,23,152,6.608695652173913,403999.99999999994,3848000,53,50,344,6.88,TUBER,392500,3848000,0,0,0,0,2013
arveja,869,838,4663.3999999999996,5.56491646778043,1725578.9767122699,3501495.97238205,,,,913,911,5216,5.725576289791438,1779398.0061349696,3525629.7918948522,1782,1749,9879.3999999999996,5.648599199542596,VERDE,1752488.4914236199,3513562.8821384497,940,940,5412,5.757446808510639,2007
maiz.trad. blanco,2695,2695,4024.1999999999998,1.49320964749536,860000,1360415.5959228501,,,,2147,2087,2984.2999999999997,1.429947292764734,869999.99999999988,1360415.5959228538,4842,4782,7008.5,1.465600167294019,G-SECO,865000,1360415.5959228536,0,0,0,0,2012
maiz. tec. amarillo,6782,6662,25015,3.75487841489042,865000,3211444.7661896599,,,,5537,5318,19963.400000000001,3.75393004889056,880000,3211444.7661896572,12319,11980,44978.400000000001,3.754457429048414,G-SECO,872500,3211444.7661896581,0,0,0,0,2013
